dauid,area_sq_km,pop_total,hhld_total,vismin_total,vismin_vismin,lico_total,lico_lico,fam_total,fam_oneparent,fam_onemother
48061609,0.243,793,242,815,685,795,80,190,50,45
48061610,0.0701,270,86,320,205,270,20,75,15,15
48061613,0.5903,812,322,825,165,810,20,265,20,15
48061614,0.0612,218,83,235,60,215,0,75,5,5
48061615,0.1936,463,165,495,95,465,15,150,10,5
48061616,0.5864,955,349,900,155,955,5,320,20,15
48061617,0.4795,757,231,710,55,755,30,230,15,10
48061618,0.0653,260,81,240,15,260,5,75,5,5
48061619,0.2405,731,258,720,145,735,35,215,40,30
48061620,0.3225,1159,380,1150,165,1155,25,355,30,25
48061621,0.0992,373,134,405,135,370,20,120,25,20
48061622,3.5644,1957,794,1995,1125,1960,75,560,80,60
48061624,0.2493,846,305,885,340,845,35,250,35,35
48061625,0.1324,630,210,555,265,630,25,175,15,10
48061627,0.0728,351,112,355,115,350,10,110,10,5
48061628,0.2121,1076,358,1110,425,1075,35,310,50,35
48061629,0.1404,463,164,540,205,465,20,130,20,15
48061630,0.2704,1456,440,1515,1040,1455,135,370,105,85
48061631,0.2353,807,260,770,415,805,35,210,30,25
48061632,0.3072,931,430,985,370,930,40,295,55,40
48061633,0.1018,551,149,550,505,545,5,150,15,10
48061635,0.2367,886,311,880,280,890,20,270,25,20
48061636,0.2082,758,309,770,30,760,30,230,35,25
48061637,0.1305,537,206,470,85,540,20,145,25,25
48061638,0.1849,722,272,800,195,725,25,215,25,20
48061639,0.2221,634,227,640,170,635,35,195,20,15
48061641,0.1424,505,173,510,205,505,25,150,15,10
48061642,0.1699,873,349,900,225,870,80,260,70,65
48061643,0.0521,709,385,670,625,595,85,130,25,25
48061645,0.5869,1568,703,1450,915,1570,260,380,110,95
48061648,0.23,983,310,975,385,980,25,295,30,25
48061649,0.2384,1143,419,1085,470,1140,60,345,45,30
48061650,0.0465,293,84,265,205,290,10,75,10,5
48061652,0.6199,2517,642,2490,2145,2520,135,645,95,70
48061654,0.0598,266,96,290,20,265,5,75,5,0
48061655,0.0713,368,146,340,105,370,10,115,20,15
48061656,0.3698,1526,594,1450,355,1525,80,450,90,70
48061658,0.0551,380,105,360,195,380,10,110,15,10
48061659,0.0689,424,131,390,175,425,5,115,25,20
48061663,0.6484,1264,441,1335,525,1260,40,345,40,30
48061664,0.9927,1067,439,1120,490,1065,75,305,40,35
48061665,0.0505,271,86,300,135,265,5,80,5,5
48061666,0.281,1128,359,1150,625,1130,45,335,30,30
48061667,0.0391,217,67,215,115,215,5,60,10,5
48061668,0.2473,803,247,805,320,800,5,235,15,15
48061669,0.0363,1019,632,910,500,1020,145,225,15,10
48061670,0.0173,1264,698,1360,965,1265,210,275,40,35
48061671,0.4886,1232,414,1175,470,1230,50,360,45,35
48061672,0.1631,425,158,405,200,425,15,135,20,15
48061674,0.1169,643,179,595,480,640,30,165,25,15
48061762,0.3579,777,303,795,405,775,40,215,25,25
48061763,0.1551,596,171,550,205,595,15,165,5,5
48061764,0.2975,763,258,800,330,765,30,225,30,20
48061765,0.313,441,131,485,345,440,20,120,20,15
48061766,0.0839,434,151,460,255,435,20,125,15,10
48061767,0.2666,1067,362,1080,335,1065,30,315,35,20
48061768,0.3226,567,180,520,220,570,5,175,25,25
48061769,0.2591,807,276,805,355,805,25,245,30,20
48061770,1.0573,1694,511,1740,1250,1695,70,505,55,45
48061771,0.3175,1062,313,1055,610,1060,25,305,20,15
48061772,0.1517,936,255,855,455,935,35,255,30,25
48061773,0.2648,822,236,830,630,820,20,230,20,15
48061774,0.217,1317,573,1355,940,1315,120,340,40,30
48061775,0.2125,558,189,560,360,555,20,175,20,15
48061776,0.1642,719,239,755,380,720,15,205,30,25
48061777,0.3196,1311,473,1270,790,1310,75,355,70,55
48061778,0.061,356,167,335,165,355,15,100,10,5
48061779,0.1248,335,109,280,125,335,20,100,15,10
48061780,1.1505,981,407,1020,445,980,45,295,40,35
48061781,1.4843,2268,863,2215,1280,2270,100,670,105,90
48061785,0.0762,352,100,370,265,355,10,105,5,5
48061786,0.0679,253,80,235,170,255,0,80,10,5
48061789,0.3679,342,131,325,85,340,15,120,10,5
48061790,0.3273,1416,462,1335,635,1415,65,395,50,35
48061792,0.1529,642,235,655,270,645,35,180,25,20
48061793,0.2129,674,225,670,255,670,30,195,20,15
48061795,0.7421,1346,454,1310,655,1340,50,380,70,55
48061796,0.1548,522,187,485,130,525,5,140,20,20
48061797,0.1022,602,189,630,370,600,25,175,20,15
48061800,0.6348,1309,471,1330,640,1310,65,405,50,40
48061801,0.093,405,127,420,175,405,10,125,15,10
48061802,0.1695,206,117,180,55,205,20,60,5,5
48061803,0.3281,1370,559,1445,555,1365,95,385,60,50
48061804,0.3419,1126,515,1105,315,1130,55,330,35,25
48061805,0.1044,517,189,565,85,515,15,155,25,25
48061806,0.141,562,205,460,70,560,20,165,30,25
48061807,0.1748,524,172,470,115,525,20,150,15,10
48061808,0.3311,1216,385,1280,200,1215,45,350,35,25
48061809,0.2425,941,283,945,250,940,25,270,35,30
48061811,0.1322,712,268,685,230,710,15,205,30,20
48061812,0.5669,1598,487,1645,515,1600,50,460,55,40
48061814,0.4082,1612,530,1430,470,1495,45,450,50,40
48061858,0.259,676,250,590,90,675,35,190,30,20
48061860,0.1545,447,197,405,125,445,15,130,20,20
48061864,0.6407,1051,313,905,430,1050,50,300,10,10
48061865,0.9676,1680,530,1755,750,1680,80,495,30,25
48061870,0.2393,949,281,900,350,950,45,260,45,35
48061871,0.4077,1313,438,1405,440,1315,50,355,35,35
48061872,0.0735,216,75,220,75,220,10,60,20,20
48061873,0.785,1618,621,1570,720,1620,125,435,60,45
48061874,0.1524,854,256,810,390,855,25,230,25,20
48061875,0.2054,767,277,745,240,770,35,230,25,20
48061876,0.0741,342,111,370,155,340,10,95,15,10
48061877,0.5805,2216,689,2270,835,2220,65,630,50,40
48061878,0.5346,1448,445,1495,615,1450,60,405,45,35
48061880,0.7334,1293,401,1245,605,1290,30,375,30,20
48061881,0.6851,1406,490,1405,805,1405,80,380,60,50
48061882,0.4324,1243,409,1095,485,1185,50,350,45,35
48061883,0.1234,444,143,420,135,440,20,135,10,10
48061884,0.5197,1440,486,1425,505,1440,45,445,35,25
48061885,0.0752,244,81,265,155,245,10,75,10,5
48061886,0.1291,464,154,485,200,465,10,140,10,5
48061887,0.2789,1024,420,1000,475,925,65,275,20,15
48061888,0.1009,381,120,410,185,380,15,115,20,10
48061946,0.4687,1481,467,1505,270,1480,40,450,30,20
48061947,0.0612,285,85,280,50,285,0,85,10,5
48061949,0.0993,609,210,630,90,610,25,170,25,25
48061951,0.0704,342,134,385,135,345,15,105,20,10
48061953,0.0566,398,145,290,45,290,10,80,20,15
48061956,0.0907,540,187,560,150,540,20,150,30,20
48061957,0.1105,544,195,540,65,545,15,155,20,10
48061958,0.0994,525,192,515,105,525,10,150,35,20
48061959,0.13,612,239,585,85,610,25,170,20,20
48061986,0.1576,673,231,680,490,670,45,180,45,40
48061987,0.1658,1358,341,1075,915,1360,65,350,40,30
48061988,0.2154,1385,325,1555,1400,1385,75,360,40,40
48061989,0.1694,1109,261,1215,1115,1110,75,295,35,25
48061990,0.0497,555,134,490,480,555,40,135,20,10
48061991,0.0824,386,88,360,340,380,35,95,20,15
48061992,0.1228,1238,276,1240,1225,1240,95,285,25,15
48061993,0.0854,985,295,1050,925,985,45,245,55,50
48061994,0.1018,914,247,885,770,910,75,215,20,20
48061995,0.1426,1099,326,1190,1120,1100,70,295,40,30
48061996,0.0927,690,178,625,535,690,25,180,25,20
48061997,0.1053,1065,279,1025,980,1065,50,290,40,40
48062001,0.1046,855,212,865,790,855,65,225,30,20
48062002,0.1737,1136,302,1190,1070,1135,35,305,45,35
48062003,0.1225,808,207,795,690,805,30,220,25,20
48062004,0.3779,1715,446,1745,1530,1715,60,475,50,45
48062005,0.2339,1047,276,1030,870,1045,40,290,30,25
48062006,0.2496,836,221,675,530,835,15,245,20,15
48062008,0.332,1818,503,1820,1510,1815,75,485,95,75
48062009,0.1387,1088,289,985,775,995,30,260,45,30
48062010,0.0401,245,65,220,190,245,15,60,10,5
48062011,0.066,357,105,290,245,355,20,95,20,15
48062026,0.3025,1354,367,1360,1140,1350,55,360,70,50
48062027,0.0627,297,89,305,255,300,10,90,10,10
48062028,0.0495,267,74,320,230,265,10,75,15,15
48062029,0.0287,325,78,310,240,325,65,70,30,30
48062030,0.1588,1361,561,1405,845,1360,110,365,75,60
48062031,0.3542,1428,615,1420,905,1425,105,335,50,45
48062067,0.1144,562,174,545,235,560,20,160,25,20
48062068,0.3112,1275,407,1280,620,1275,40,365,40,30
